["1e41b2b8131e8f144ad6897ab467b8d3","2019-05-16 23:53:30"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:53:51"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:53:53"]
["8916ba3964d12f40ca44857c32800fb1","2019-05-16 23:53:54"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:54:15"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:54:16"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:54:17"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:54:51"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:55:28"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:55:50"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:55:59"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:56:03"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:56:07"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:56:17"]
["1e41b2b8131e8f144ad6897ab467b8d3","2019-05-16 23:56:22"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:56:24"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:56:53"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:57:02"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:57:47"]
